date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2/26/2020,Brazil,1,,1,,,,,
2/27/2020,Brazil,0,,1,,,,,
2/28/2020,Brazil,0,,1,,,,,
2/29/2020,Brazil,1,,2,,,,,
3/1/2020,Brazil,0,,2,,,,,
3/2/2020,Brazil,0,,2,,2,0,,
3/3/2020,Brazil,0,,2,,2,0,,
3/4/2020,Brazil,2,,4,,3,0,,
3/5/2020,Brazil,0,,4,,3,0,,
3/6/2020,Brazil,9,,13,,12,0,,
3/7/2020,Brazil,0,,13,,11,0,,
3/8/2020,Brazil,7,,20,,18,0,,
3/9/2020,Brazil,5,,25,,23,0,25,0
3/10/2020,Brazil,6,,31,,29,0,31,0
3/11/2020,Brazil,7,,38,,34,0,37,0
3/12/2020,Brazil,14,,52,,48,0,51,0
3/13/2020,Brazil,99,,151,,138,0,150,0
3/14/2020,Brazil,0,,151,,138,0,149,0
3/15/2020,Brazil,11,,162,,142,0,160,0
3/16/2020,Brazil,38,,200,,175,0,198,0
3/17/2020,Brazil,121,1,321,1,290,1,319,1
3/18/2020,Brazil,51,2,372,3,334,3,368,3
3/19/2020,Brazil,249,3,621,6,569,6,617,6
3/20/2020,Brazil,172,5,793,11,642,11,780,11
3/21/2020,Brazil,228,4,1021,15,870,15,1008,15
3/22/2020,Brazil,525,10,1546,25,1384,25,1526,25
3/23/2020,Brazil,378,9,1924,34,1724,34,1899,34
3/24/2020,Brazil,323,12,2247,46,1926,45,2216,46
3/25/2020,Brazil,307,13,2554,59,2182,56,2516,59
3/26/2020,Brazil,431,18,2985,77,2364,71,2933,77
3/27/2020,Brazil,432,15,3417,92,2624,81,3266,92
3/28/2020,Brazil,487,19,3904,111,2883,96,3753,111
3/29/2020,Brazil,352,25,4256,136,2710,111,4094,136
3/30/2020,Brazil,323,23,4579,159,2655,125,4379,159
3/31/2020,Brazil,1138,42,5717,201,3470,155,5396,200
4/1/2020,Brazil,1119,39,6836,240,4282,181,6464,237
4/2/2020,Brazil,1208,84,8044,324,5059,247,7423,318
4/3/2020,Brazil,1012,35,9056,359,5639,267,8263,348
4/4/2020,Brazil,1304,86,10360,445,6456,334,9339,430
4/5/2020,Brazil,770,41,11130,486,6874,350,9584,461
4/6/2020,Brazil,1031,78,12161,564,7582,405,10237,530
4/7/2020,Brazil,1873,122,14034,686,8317,485,11787,640
4/8/2020,Brazil,2136,133,16170,819,9334,579,13616,760
4/9/2020,Brazil,1922,131,18092,950,10048,626,15107,873
4/10/2020,Brazil,1546,107,19638,1057,10582,698,16221,965
4/11/2020,Brazil,1089,67,20727,1124,10367,679,16823,1013
4/12/2020,Brazil,1465,99,22192,1223,11062,737,17936,1087
4/13/2020,Brazil,1238,105,23430,1328,11269,764,18851,1169
4/14/2020,Brazil,1832,204,25262,1532,11228,846,19545,1331
4/15/2020,Brazil,3058,204,28320,1736,12150,917,21484,1496
4/16/2020,Brazil,2105,188,30425,1924,12333,974,22381,1600
4/17/2020,Brazil,3257,217,33682,2141,14044,1084,24626,1782
4/18/2020,Brazil,2976,213,36658,2354,15931,1230,26298,1909
4/19/2020,Brazil,1996,108,38654,2462,16462,1239,27524,1976
4/20/2020,Brazil,2089,125,40743,2587,17313,1259,28582,2023
4/21/2020,Brazil,2336,154,43079,2741,17817,1209,29045,2055
4/22/2020,Brazil,2678,165,45757,2906,17437,1170,29587,2087
4/23/2020,Brazil,4279,425,50036,3331,19611,1407,31944,2381
4/24/2020,Brazil,4007,373,54043,3704,20361,1563,34405,2647
4/25/2020,Brazil,5281,353,59324,4057,22666,1703,38597,2933
4/26/2020,Brazil,3776,229,63100,4286,24446,1824,40908,3063
4/27/2020,Brazil,4346,317,67446,4603,26703,2016,44016,3275
4/28/2020,Brazil,5789,480,73235,5083,30156,2342,47973,3551
4/29/2020,Brazil,6450,430,79685,5513,33928,2607,51365,3777
4/30/2020,Brazil,7502,493,87187,6006,37151,2675,56762,4082
5/1/2020,Brazil,5015,406,92202,6412,38159,2708,58520,4271
5/2/2020,Brazil,4898,349,97100,6761,37776,2704,60442,4407
5/3/2020,Brazil,4726,290,101826,7051,38726,2765,63172,4589
5/4/2020,Brazil,6794,316,108620,7367,41174,2764,67877,4780
5/5/2020,Brazil,6835,571,115455,7938,42220,2855,72376,5197
5/6/2020,Brazil,11156,650,126611,8588,46926,3075,80854,5682
5/7/2020,Brazil,9162,602,135773,9190,48586,3184,85737,5859
5/8/2020,Brazil,11121,827,146894,10017,54692,3605,92851,6313
5/9/2020,Brazil,9167,639,156061,10656,58961,3895,96737,6599
5/10/2020,Brazil,6638,467,162699,11123,60873,4072,99599,6837
5/11/2020,Brazil,6895,530,169594,11653,60974,4286,102148,7050
5/12/2020,Brazil,8620,808,178214,12461,62759,4523,104979,7378
5/13/2020,Brazil,11923,779,190137,13240,63526,4652,110452,7727
5/14/2020,Brazil,13028,759,203165,13999,67392,4809,115978,7993
5/15/2020,Brazil,17126,963,220291,14962,73397,4945,128089,8550
5/16/2020,Brazil,13220,700,233511,15662,77450,5006,136411,8901
5/17/2020,Brazil,7569,456,241080,16118,78381,4995,139254,9067
5/18/2020,Brazil,14288,735,255368,16853,85774,5200,146748,9486
5/19/2020,Brazil,16517,1130,271885,17983,93671,5522,156430,10045
5/20/2020,Brazil,19694,876,291579,18859,101442,5619,164968,10271
5/21/2020,Brazil,18508,1188,310087,20047,106922,6048,174314,10857
5/22/2020,Brazil,20803,1001,330890,21048,110599,6086,183996,11031
5/23/2020,Brazil,16508,965,347398,22013,113887,6351,191337,11357
5/24/2020,Brazil,15813,653,363211,22666,122131,6548,200512,11543
5/25/2020,Brazil,11687,807,374898,23473,119530,6620,205304,11820
5/26/2020,Brazil,16324,1039,391222,24512,119337,6529,213008,12051
5/27/2020,Brazil,20599,1086,411821,25598,120242,6739,221684,12358
5/28/2020,Brazil,26417,1156,438238,26754,128151,6707,235073,12755
5/29/2020,Brazil,26928,1124,465166,27878,134276,6830,244875,12916
5/30/2020,Brazil,33274,956,498440,28834,151042,6821,264929,13172
5/31/2020,Brazil,16409,480,514849,29314,151638,6648,273769,13196
6/1/2020,Brazil,11598,623,526447,29937,151549,6464,271079,13084
6/2/2020,Brazil,28936,1262,555383,31199,164161,6687,283498,13216
6/3/2020,Brazil,28633,1349,584016,32548,172195,6950,292437,13689
6/4/2020,Brazil,30925,1473,614941,34021,176703,7267,304854,13974
6/5/2020,Brazil,30830,1005,645771,35026,180605,7148,314881,13978
6/6/2020,Brazil,27075,904,672846,35930,174406,7096,325448,13917
6/7/2020,Brazil,18912,525,691758,36455,176909,7141,328547,13789
6/8/2020,Brazil,15654,679,707412,37134,180965,7197,332514,13661
6/9/2020,Brazil,32091,1272,739503,38406,184120,7207,348281,13894
6/10/2020,Brazil,32913,1274,772416,39680,188400,7132,360595,14082
6/11/2020,Brazil,30412,1239,802828,40919,187887,6898,364590,14165
6/12/2020,Brazil,25982,909,828810,41828,183039,6802,363644,13950
6/13/2020,Brazil,21704,892,850514,42720,177668,6790,352074,13886
6/14/2020,Brazil,17110,612,867624,43332,175866,6877,352775,14018
6/15/2020,Brazil,20647,627,888271,43959,180859,6825,361824,14022
6/16/2020,Brazil,34918,1282,923189,45241,183686,6835,367806,14042
6/17/2020,Brazil,32188,1269,955377,46510,182961,6830,371361,13962
6/18/2020,Brazil,22765,1238,978142,47748,175314,6829,363201,13727
6/19/2020,Brazil,54771,1206,1032913,48954,204103,7126,387142,13928
6/20/2020,Brazil,34666,1022,1067579,49976,217065,7256,394733,14046
6/21/2020,Brazil,15762,615,1083341,50591,215717,7259,391583,14136
6/22/2020,Brazil,23129,680,1106470,51271,218199,7312,399058,14137
6/23/2020,Brazil,39436,1374,1145906,52645,222717,7404,406403,14239
6/24/2020,Brazil,42725,1185,1188631,53830,233254,7320,416215,14150
6/25/2020,Brazil,39483,1141,1228114,54971,249972,7223,425286,14052
6/26/2020,Brazil,46860,990,1274974,55961,242061,7007,446164,14133
6/27/2020,Brazil,38693,1109,1313667,57070,246088,7094,463153,14350
6/28/2020,Brazil,30476,552,1344143,57622,260802,7031,476519,14290
6/29/2020,Brazil,24052,692,1368195,58314,261725,7043,479924,14355
6/30/2020,Brazil,33846,1280,1402041,59594,256135,6949,478852,14353
7/1/2020,Brazil,46712,1038,1448753,60632,260122,6802,493376,14122
7/2/2020,Brazil,48105,1252,1496858,61884,268744,6913,518716,14136
7/3/2020,Brazil,42223,1290,1539081,63174,264107,7213,506168,14220
7/4/2020,Brazil,37923,1091,1577004,64265,263337,7195,509425,14289
7/5/2020,Brazil,26051,602,1603055,64867,258912,7245,519714,14276
7/6/2020,Brazil,20229,620,1623284,65487,255089,7173,516814,14216
7/7/2020,Brazil,45305,1254,1668589,66741,266548,7147,522683,14096
7/8/2020,Brazil,44571,1223,1713160,67964,264407,7332,524529,14134
7/9/2020,Brazil,42619,1220,1755779,69184,258921,7300,527665,14213
