date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2/28/2020,New Zealand,1,,1,,,,,
2/29/2020,New Zealand,0,,1,,,,,
3/1/2020,New Zealand,0,,1,,,,,
3/2/2020,New Zealand,0,,1,,,,,
3/3/2020,New Zealand,0,,1,,,,,
3/4/2020,New Zealand,2,,3,,3,0,,
3/5/2020,New Zealand,0,,3,,3,0,,
3/6/2020,New Zealand,1,,4,,3,0,,
3/7/2020,New Zealand,1,,5,,4,0,,
3/8/2020,New Zealand,0,,5,,4,0,,
3/9/2020,New Zealand,0,,5,,4,0,,
3/10/2020,New Zealand,0,,5,,4,0,,
3/11/2020,New Zealand,0,,5,,2,0,5,0
3/12/2020,New Zealand,0,,5,,2,0,5,0
3/13/2020,New Zealand,0,,5,,1,0,4,0
3/14/2020,New Zealand,1,,6,,1,0,5,0
3/15/2020,New Zealand,2,,8,,3,0,7,0
3/16/2020,New Zealand,0,,8,,3,0,7,0
3/17/2020,New Zealand,4,,12,,7,0,11,0
3/18/2020,New Zealand,8,,20,,15,0,17,0
3/19/2020,New Zealand,8,,28,,23,0,25,0
3/20/2020,New Zealand,11,,39,,34,0,35,0
3/21/2020,New Zealand,13,,52,,46,0,47,0
3/22/2020,New Zealand,50,,102,,94,0,97,0
3/23/2020,New Zealand,0,,102,,94,0,97,0
3/24/2020,New Zealand,53,,155,,143,0,150,0
3/25/2020,New Zealand,50,,205,,185,0,200,0
3/26/2020,New Zealand,78,,283,,255,0,278,0
3/27/2020,New Zealand,85,,368,,329,0,363,0
3/28/2020,New Zealand,83,,451,,399,0,445,0
3/29/2020,New Zealand,63,1,514,1,412,1,506,1
3/30/2020,New Zealand,75,0,589,1,487,1,581,1
3/31/2020,New Zealand,58,0,647,1,492,1,635,1
4/1/2020,New Zealand,61,0,708,1,503,1,688,1
4/2/2020,New Zealand,89,0,797,1,514,1,769,1
