date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/23/2020,Singapore,1,,1,,,,,
1/24/2020,Singapore,2,,3,,,,,
1/25/2020,Singapore,0,,3,,,,,
1/26/2020,Singapore,1,,4,,,,,
1/27/2020,Singapore,1,,5,,,,,
1/28/2020,Singapore,2,,7,,7,0,,
1/29/2020,Singapore,0,,7,,7,0,,
1/30/2020,Singapore,3,,10,,9,0,,
1/31/2020,Singapore,3,,13,,10,0,,
2/1/2020,Singapore,3,,16,,13,0,,
2/2/2020,Singapore,2,,18,,14,0,,
2/3/2020,Singapore,0,,18,,13,0,,
2/4/2020,Singapore,6,,24,,17,0,24,0
2/5/2020,Singapore,4,,28,,21,0,28,0
2/6/2020,Singapore,0,,28,,18,0,27,0
2/7/2020,Singapore,2,,30,,17,0,27,0
2/8/2020,Singapore,3,,33,,17,0,30,0
2/9/2020,Singapore,7,,40,,22,0,36,0
2/10/2020,Singapore,5,,45,,27,0,40,0
2/11/2020,Singapore,2,,47,,23,0,40,0
2/12/2020,Singapore,3,,50,,22,0,43,0
2/13/2020,Singapore,8,,58,,30,0,48,0
2/14/2020,Singapore,9,,67,,37,0,54,0
2/15/2020,Singapore,5,,72,,39,0,56,0
2/16/2020,Singapore,3,,75,,35,0,57,0
2/17/2020,Singapore,2,,77,,32,0,59,0
2/18/2020,Singapore,4,,81,,34,0,57,0
2/19/2020,Singapore,3,,84,,34,0,56,0
2/20/2020,Singapore,0,,84,,26,0,56,0
2/21/2020,Singapore,1,,85,,18,0,55,0
2/22/2020,Singapore,0,,85,,13,0,52,0
2/23/2020,Singapore,4,,89,,14,0,49,0
2/24/2020,Singapore,0,,89,,12,0,44,0
2/25/2020,Singapore,2,,91,,10,0,44,0
2/26/2020,Singapore,2,,93,,9,0,43,0
2/27/2020,Singapore,0,,93,,9,0,35,0
2/28/2020,Singapore,0,,93,,8,0,26,0
2/29/2020,Singapore,9,,102,,17,0,30,0
3/1/2020,Singapore,4,,106,,17,0,31,0
3/2/2020,Singapore,2,,108,,19,0,31,0
3/3/2020,Singapore,2,,110,,19,0,29,0
3/4/2020,Singapore,0,,110,,17,0,26,0
3/5/2020,Singapore,7,,117,,24,0,33,0
3/6/2020,Singapore,13,,130,,37,0,45,0
3/7/2020,Singapore,8,,138,,36,0,53,0
3/8/2020,Singapore,12,,150,,44,0,61,0
3/9/2020,Singapore,0,,150,,42,0,61,0
3/10/2020,Singapore,10,,160,,50,0,69,0
3/11/2020,Singapore,18,,178,,68,0,85,0
3/12/2020,Singapore,0,,178,,61,0,85,0
3/13/2020,Singapore,22,,200,,70,0,107,0
3/14/2020,Singapore,12,,212,,74,0,110,0
3/15/2020,Singapore,14,,226,,76,0,120,0
3/16/2020,Singapore,17,,243,,93,0,135,0
3/17/2020,Singapore,23,,266,,106,0,156,0
3/18/2020,Singapore,47,,313,,135,0,203,0
3/19/2020,Singapore,32,,345,,167,0,228,0
3/20/2020,Singapore,40,,385,,185,0,255,0
3/21/2020,Singapore,47,2,432,2,220,2,294,2
3/22/2020,Singapore,23,0,455,2,229,2,305,2
3/23/2020,Singapore,54,0,509,2,266,2,359,2
3/24/2020,Singapore,49,0,558,2,292,2,398,2
3/25/2020,Singapore,73,0,631,2,318,2,453,2
3/26/2020,Singapore,52,0,683,2,338,2,505,2
3/27/2020,Singapore,49,0,732,2,347,2,532,2
3/28/2020,Singapore,70,0,802,2,370,0,590,2
3/29/2020,Singapore,42,1,844,3,389,1,618,3
3/30/2020,Singapore,35,0,879,3,370,1,636,3
3/31/2020,Singapore,47,0,926,3,368,1,660,3
4/1/2020,Singapore,74,0,1000,3,369,1,687,3
