date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/22/2020,Taiwan,,,1,,,,,
1/23/2020,Taiwan,0,,1,,,,,
1/24/2020,Taiwan,2,,3,,,,,
1/25/2020,Taiwan,0,,3,,,,,
1/26/2020,Taiwan,1,,4,,,,,
1/27/2020,Taiwan,1,,5,,,,,
1/28/2020,Taiwan,3,,8,,7,0,,
1/29/2020,Taiwan,0,,8,,7,0,,
1/30/2020,Taiwan,1,,9,,8,0,,
1/31/2020,Taiwan,1,,10,,7,0,,
2/1/2020,Taiwan,0,,10,,7,0,,
2/2/2020,Taiwan,0,,10,,6,0,,
2/3/2020,Taiwan,0,,10,,5,0,,
2/4/2020,Taiwan,1,,11,,3,0,10,0
2/5/2020,Taiwan,0,,11,,3,0,10,0
2/6/2020,Taiwan,5,,16,,7,0,15,0
2/7/2020,Taiwan,0,,16,,6,0,13,0
2/8/2020,Taiwan,1,,17,,7,0,14,0
2/9/2020,Taiwan,1,,18,,8,0,14,0
2/10/2020,Taiwan,0,,18,,8,0,13,0
2/11/2020,Taiwan,0,,18,,7,0,10,0
2/12/2020,Taiwan,0,,18,,7,0,10,0
2/13/2020,Taiwan,0,,18,,2,0,9,0
2/14/2020,Taiwan,0,,18,,2,0,8,0
2/15/2020,Taiwan,0,,18,,1,0,8,0
2/16/2020,Taiwan,2,1,20,1,2,1,10,1
2/17/2020,Taiwan,2,0,22,1,4,1,12,1
2/18/2020,Taiwan,0,0,22,1,4,1,11,1
2/19/2020,Taiwan,1,0,23,1,5,1,12,1
2/20/2020,Taiwan,1,0,24,1,6,1,8,1
2/21/2020,Taiwan,2,0,26,1,8,1,10,1
2/22/2020,Taiwan,0,0,26,1,8,1,9,1
2/23/2020,Taiwan,2,0,28,1,8,0,10,1
2/24/2020,Taiwan,2,0,30,1,8,0,12,1
2/25/2020,Taiwan,1,0,31,1,9,0,13,1
2/26/2020,Taiwan,1,0,32,1,9,0,14,1
2/27/2020,Taiwan,0,0,32,1,8,0,14,1
2/28/2020,Taiwan,2,0,34,1,8,0,16,1
2/29/2020,Taiwan,5,0,39,1,13,0,21,1
3/1/2020,Taiwan,1,0,40,1,12,0,20,0
3/2/2020,Taiwan,1,0,41,1,11,0,19,0
3/3/2020,Taiwan,1,0,42,1,11,0,20,0
3/4/2020,Taiwan,0,0,42,1,10,0,19,0
3/5/2020,Taiwan,2,0,44,1,12,0,20,0
3/6/2020,Taiwan,1,0,45,1,11,0,19,0
3/7/2020,Taiwan,0,0,45,1,6,0,19,0
3/8/2020,Taiwan,0,0,45,1,5,0,17,0
3/9/2020,Taiwan,0,0,45,1,4,0,15,0
3/10/2020,Taiwan,2,0,47,1,5,0,16,0
3/11/2020,Taiwan,1,0,48,1,6,0,16,0
3/12/2020,Taiwan,1,0,49,1,5,0,17,0
3/13/2020,Taiwan,1,0,50,1,5,0,16,0
3/14/2020,Taiwan,3,0,53,1,8,0,14,0
3/15/2020,Taiwan,6,0,59,1,14,0,19,0
3/16/2020,Taiwan,8,0,67,1,22,0,26,0
3/17/2020,Taiwan,10,0,77,1,30,0,35,0
3/18/2020,Taiwan,23,0,100,1,52,0,58,0
3/19/2020,Taiwan,8,0,108,1,59,0,64,0
3/20/2020,Taiwan,27,1,135,2,85,1,90,1
3/21/2020,Taiwan,18,0,153,2,100,1,108,1
3/22/2020,Taiwan,16,0,169,2,110,1,124,1
3/23/2020,Taiwan,26,0,195,2,128,1,150,1
3/24/2020,Taiwan,20,0,215,2,138,1,168,1
3/25/2020,Taiwan,20,0,235,2,135,1,187,1
3/26/2020,Taiwan,17,0,252,2,144,1,203,1
3/27/2020,Taiwan,15,0,267,2,132,0,217,1
3/28/2020,Taiwan,16,0,283,2,130,0,230,1
3/29/2020,Taiwan,15,0,298,2,129,0,239,1
3/30/2020,Taiwan,8,3,306,5,111,3,239,4
3/31/2020,Taiwan,16,0,322,5,107,3,245,4
4/1/2020,Taiwan,7,0,329,5,94,3,229,4
4/2/2020,Taiwan,10,0,339,5,87,3,231,4
4/3/2020,Taiwan,9,0,348,5,81,3,213,3
4/4/2020,Taiwan,7,0,355,5,72,3,202,3
4/5/2020,Taiwan,8,0,363,5,65,3,194,3
4/6/2020,Taiwan,10,0,373,5,67,0,178,3
4/7/2020,Taiwan,3,0,376,5,54,0,161,3
4/8/2020,Taiwan,3,0,379,5,50,0,144,3
4/9/2020,Taiwan,1,0,380,5,41,0,128,3
4/10/2020,Taiwan,2,1,382,6,34,1,115,4
4/11/2020,Taiwan,3,0,385,6,30,1,102,4
4/12/2020,Taiwan,3,0,388,6,25,1,90,4
4/13/2020,Taiwan,5,0,393,6,20,1,87,1
4/14/2020,Taiwan,0,0,393,6,17,1,71,1
4/15/2020,Taiwan,2,0,395,6,16,1,66,1
4/16/2020,Taiwan,0,0,395,6,15,1,56,1
4/17/2020,Taiwan,0,0,395,6,13,0,47,1
4/18/2020,Taiwan,3,0,398,6,13,0,43,1
4/19/2020,Taiwan,22,0,420,6,32,0,57,1
4/20/2020,Taiwan,2,0,422,6,29,0,49,1
4/21/2020,Taiwan,3,0,425,6,32,0,49,1
4/22/2020,Taiwan,1,0,426,6,31,0,47,1
4/23/2020,Taiwan,1,0,427,6,32,0,47,1
4/24/2020,Taiwan,1,0,428,6,33,0,46,0
4/25/2020,Taiwan,1,0,429,6,31,0,44,0
4/26/2020,Taiwan,0,0,429,6,9,0,41,0
4/27/2020,Taiwan,0,0,429,6,7,0,36,0
4/28/2020,Taiwan,0,0,429,6,4,0,36,0
4/29/2020,Taiwan,0,0,429,6,3,0,34,0
4/30/2020,Taiwan,0,0,429,6,2,0,34,0
5/1/2020,Taiwan,0,0,429,6,1,0,34,0
5/2/2020,Taiwan,3,0,432,6,3,0,34,0
