date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2/13/2020,Africa,0,0,,,,,,
2/14/2020,Africa,1,0,1,,,,,
2/15/2020,Africa,0,0,1,,,,,
2/16/2020,Africa,0,0,1,,,,,
2/17/2020,Africa,0,0,1,,,,,
2/18/2020,Africa,0,0,1,,,,,
2/19/2020,Africa,0,0,1,,1,0,,
2/20/2020,Africa,0,0,1,,1,0,,
2/21/2020,Africa,0,0,1,,0,0,,
2/22/2020,Africa,0,0,1,,0,0,,
2/23/2020,Africa,0,0,1,,0,0,,
2/24/2020,Africa,0,0,1,,0,0,,
2/25/2020,Africa,1,0,2,,1,0,,
2/26/2020,Africa,0,0,2,,1,0,2,0
2/27/2020,Africa,0,0,2,,1,0,2,0
2/28/2020,Africa,1,0,3,,2,0,2,0
2/29/2020,Africa,0,0,3,,2,0,2,0
3/1/2020,Africa,1,0,4,,3,0,3,0
3/2/2020,Africa,4,0,8,,7,0,7,0
3/3/2020,Africa,3,0,11,,9,0,10,0
3/4/2020,Africa,10,0,21,,19,0,20,0
3/5/2020,Africa,3,0,24,,22,0,23,0
3/6/2020,Africa,19,0,43,,40,0,42,0
3/7/2020,Africa,0,0,43,,40,0,42,0
3/8/2020,Africa,40,1,83,1,79,1,82,1
3/9/2020,Africa,8,0,91,1,83,1,90,1
3/10/2020,Africa,13,1,104,2,93,2,102,2
3/11/2020,Africa,14,0,118,2,97,2,116,2
3/12/2020,Africa,16,1,134,3,110,3,132,3
3/13/2020,Africa,42,3,176,6,133,6,173,6
3/14/2020,Africa,78,1,254,7,211,7,251,7
3/15/2020,Africa,59,1,313,8,230,7,309,8
3/16/2020,Africa,87,0,400,8,309,7,392,8
3/17/2020,Africa,84,3,484,11,380,9,473,11
3/18/2020,Africa,116,6,600,17,482,15,579,17
3/19/2020,Africa,180,3,780,20,646,17,756,20
3/20/2020,Africa,188,6,968,26,792,20,925,26
3/21/2020,Africa,204,10,1172,36,918,29,1129,36
3/22/2020,Africa,265,12,1437,48,1124,40,1354,47
3/23/2020,Africa,381,9,1818,57,1418,49,1727,56
3/24/2020,Africa,432,7,2250,64,1766,53,2146,62
3/25/2020,Africa,523,9,2773,73,2173,56,2655,71
3/26/2020,Africa,553,18,3326,91,2546,71,3192,88
3/27/2020,Africa,559,24,3885,115,2917,89,3709,109
3/28/2020,Africa,340,19,4225,134,3053,98,3971,127
3/29/2020,Africa,560,18,4785,152,3348,104,4472,144
3/30/2020,Africa,411,21,5196,173,3378,116,4796,165
3/31/2020,Africa,585,27,5781,200,3531,136,5297,189
4/1/2020,Africa,599,34,6380,234,3607,161,5780,217
4/2/2020,Africa,651,53,7031,287,3705,196,6251,267
4/3/2020,Africa,882,44,7913,331,4028,216,6945,305
4/4/2020,Africa,679,52,8592,383,4367,249,7420,347
4/5/2020,Africa,706,61,9298,444,4513,292,7861,396
4/6/2020,Africa,701,43,9999,487,4803,314,8181,430
4/7/2020,Africa,633,46,10632,533,4851,333,8382,469
4/8/2020,Africa,804,41,11436,574,5056,340,8663,501
4/9/2020,Africa,812,53,12248,627,5217,340,8922,536
4/10/2020,Africa,663,66,12911,693,4998,362,9026,578
4/11/2020,Africa,716,49,13627,742,5035,359,9402,608
4/12/2020,Africa,864,46,14491,788,5193,344,9706,636
4/13/2020,Africa,774,46,15265,834,5266,347,10069,661
4/14/2020,Africa,970,39,16235,873,5603,340,10454,673
4/15/2020,Africa,957,37,17192,910,5756,336,10812,676
4/16/2020,Africa,1168,55,18360,965,6112,338,11329,678
4/17/2020,Africa,1406,51,19766,1016,6855,323,11853,685
4/18/2020,Africa,1306,42,21072,1058,7445,316,12480,675
4/19/2020,Africa,1209,63,22281,1121,7790,333,12983,677
4/20/2020,Africa,1158,38,23439,1159,8174,325,13440,672
4/21/2020,Africa,1070,30,24509,1189,8274,316,13877,656
4/22/2020,Africa,1402,51,25911,1240,8719,330,14475,666
4/23/2020,Africa,1438,57,27349,1297,8989,332,15101,670
4/24/2020,Africa,1719,27,29068,1324,9302,308,16157,631
4/25/2020,Africa,1231,51,30299,1375,9227,317,16672,633
4/26/2020,Africa,1534,48,31833,1423,9552,302,17342,635
4/27/2020,Africa,1334,39,33167,1462,9728,303,17902,628
4/28/2020,Africa,1627,61,34794,1523,10285,334,18559,650
4/29/2020,Africa,2013,65,36807,1588,10896,348,19615,678
4/30/2020,Africa,1946,46,38753,1634,11404,337,20393,669
