date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/22/2020,Asia,0,0,556,17,,,,
1/23/2020,Asia,98,1,654,18,,,,
1/24/2020,Asia,283,8,937,26,,,,
1/25/2020,Asia,491,16,1428,42,,,,
1/26/2020,Asia,677,14,2105,56,,,,
1/27/2020,Asia,807,26,2912,82,,,,
1/28/2020,Asia,2646,49,5558,131,5002,114,,
1/29/2020,Asia,585,2,6143,133,5587,116,,
1/30/2020,Asia,2065,38,8208,171,7554,153,,
1/31/2020,Asia,1681,42,9889,213,8952,187,,
2/1/2020,Asia,2102,46,11991,259,10563,217,,
2/2/2020,Asia,4747,103,16738,362,14633,306,,
2/3/2020,Asia,3089,64,19827,426,16915,344,,
2/4/2020,Asia,4009,66,23836,492,18278,361,23280,475
2/5/2020,Asia,3743,72,27579,564,21436,431,27023,547
2/6/2020,Asia,3158,70,30737,634,22529,463,30083,616
2/7/2020,Asia,3527,85,34264,719,24375,506,33327,693
2/8/2020,Asia,2725,87,36989,806,24998,547,35561,764
2/9/2020,Asia,3024,100,40013,906,23275,544,37908,850
2/10/2020,Asia,2538,107,42551,1013,22724,587,39639,931
2/11/2020,Asia,2038,100,44589,1113,20753,621,39031,982
2/12/2020,Asia,377,5,44966,1118,17387,554,38823,985
2/13/2020,Asia,15151,253,60117,1371,29380,737,51909,1200
2/14/2020,Asia,6482,152,66599,1523,32335,804,56710,1310
2/15/2020,Asia,2075,142,68674,1665,31685,859,56683,1406
2/16/2020,Asia,2113,104,70787,1769,30774,863,54049,1407
2/17/2020,Asia,1934,98,72721,1867,30170,854,52894,1441
2/18/2020,Asia,1794,140,74515,2007,29926,894,50679,1515
2/19/2020,Asia,420,115,74935,2122,29969,1004,47356,1558
2/20/2020,Asia,545,123,75480,2245,15363,874,44743,1611
2/21/2020,Asia,608,3,76088,2248,9489,725,41824,1529
2/22/2020,Asia,1719,206,77807,2454,9133,789,40818,1648
2/23/2020,Asia,223,9,78030,2463,7243,694,38017,1557
