date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/22/2020,China,,,548,17,,,,
1/23/2020,China,93,1,641,18,,,,
1/24/2020,China,277,8,918,26,,,,
1/25/2020,China,483,16,1401,42,,,,
1/26/2020,China,666,14,2067,56,,,,
1/27/2020,China,802,26,2869,82,,,,
1/28/2020,China,2632,49,5501,131,4953,114,,
1/29/2020,China,576,2,6077,133,5529,116,,
1/30/2020,China,2054,38,8131,171,7490,153,,
1/31/2020,China,1659,42,9790,213,8872,187,,
2/1/2020,China,2088,46,11878,259,10477,217,,
2/2/2020,China,4737,102,16615,361,14548,305,,
2/3/2020,China,3086,64,19701,425,16832,343,,
2/4/2020,China,3989,65,23690,490,18189,359,23142,473
2/5/2020,China,3729,72,27419,562,21342,429,26871,545
2/6/2020,China,3144,70,30563,632,22432,461,29922,614
2/7/2020,China,3522,85,34085,717,24295,504,33167,691
2/8/2020,China,2703,87,36788,804,24910,545,35387,762
2/9/2020,China,3012,100,39800,904,23185,543,37733,848
2/10/2020,China,2516,107,42316,1011,22615,586,39447,929
2/11/2020,China,2021,100,44337,1111,20647,621,38836,980
2/12/2020,China,372,5,44709,1116,17290,554,38632,983
2/13/2020,China,15133,252,59842,1368,29279,736,51711,1197
2/14/2020,China,6460,152,66302,1520,32217,803,56512,1307
2/15/2020,China,2055,142,68357,1662,31569,858,56479,1403
2/16/2020,China,2099,103,70456,1765,30656,861,53841,1404
2/17/2020,China,1918,98,72374,1863,30058,852,52673,1438
2/18/2020,China,1775,139,74149,2002,29812,891,50459,1512
2/19/2020,China,407,112,74556,2114,29847,998,47137,1552
2/20/2020,China,453,122,75009,2236,15167,868,44446,1604
2/21/2020,China,473,0,75482,2236,9180,716,41397,1519
2/22/2020,China,1450,205,76932,2441,8575,779,40144,1637
2/23/2020,China,16,2,76948,2443,6492,678,37148,1539
2/24/2020,China,214,150,77162,2593,4788,730,34846,1582
2/25/2020,China,508,70,77670,2663,3521,661,33333,1552
2/26/2020,China,405,52,78075,2715,3519,601,33366,1599
2/27/2020,China,433,29,78508,2744,3499,508,18666,1376
