date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/30/2020,India,1,,1,,,,,
1/31/2020,India,0,,1,,,,,
2/1/2020,India,0,,1,,,,,
2/2/2020,India,1,,2,,,,,
2/3/2020,India,1,,3,,,,,
2/4/2020,India,0,,3,,3,0,,
2/5/2020,India,0,,3,,3,0,,
2/6/2020,India,0,,3,,2,0,,
2/7/2020,India,0,,3,,2,0,,
2/8/2020,India,0,,3,,2,0,,
2/9/2020,India,0,,3,,1,0,,
2/10/2020,India,0,,3,,0,0,,
2/11/2020,India,0,,3,,0,0,3,0
2/12/2020,India,0,,3,,0,0,3,0
2/13/2020,India,0,,3,,0,0,2,0
2/14/2020,India,0,,3,,0,0,2,0
2/15/2020,India,0,,3,,0,0,2,0
2/16/2020,India,0,,3,,0,0,1,0
2/17/2020,India,0,,3,,0,0,0,0
2/18/2020,India,0,,3,,0,0,0,0
2/19/2020,India,0,,3,,0,0,0,0
2/20/2020,India,0,,3,,0,0,0,0
2/21/2020,India,0,,3,,0,0,0,0
2/22/2020,India,0,,3,,0,0,0,0
2/23/2020,India,0,,3,,0,0,0,0
2/24/2020,India,0,,3,,0,0,0,0
2/25/2020,India,0,,3,,0,0,0,0
2/26/2020,India,0,,3,,0,0,0,0
2/27/2020,India,0,,3,,0,0,0,0
2/28/2020,India,0,,3,,0,0,0,0
2/29/2020,India,0,,3,,0,0,0,0
3/1/2020,India,0,,3,,0,0,0,0
3/2/2020,India,2,,5,,2,0,2,0
3/3/2020,India,0,,5,,2,0,2,0
3/4/2020,India,23,,28,,25,0,25,0
3/5/2020,India,2,,30,,27,0,27,0
3/6/2020,India,1,,31,,28,0,28,0
3/7/2020,India,3,,34,,31,0,31,0
3/8/2020,India,5,,39,,36,0,36,0
3/9/2020,India,4,,43,,38,0,40,0
3/10/2020,India,13,,56,,51,0,53,0
3/11/2020,India,6,1,62,1,34,1,59,1
3/12/2020,India,11,0,73,1,43,1,70,1
3/13/2020,India,9,1,82,2,51,2,79,2
3/14/2020,India,20,0,102,2,68,2,99,2
3/15/2020,India,11,0,113,2,74,2,110,2
3/16/2020,India,6,0,119,2,76,2,114,2
3/17/2020,India,23,1,142,3,86,3,137,3
3/18/2020,India,14,0,156,3,94,2,128,3
3/19/2020,India,38,1,194,4,121,3,164,4
3/20/2020,India,50,1,244,5,162,3,213,5
3/21/2020,India,86,-1,330,4,228,2,296,4
3/22/2020,India,66,3,396,7,283,5,357,7
