date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/22/2020,North America,0,0,1,,,,,
1/23/2020,North America,0,0,1,,,,,
1/24/2020,North America,1,0,2,,,,,
1/25/2020,North America,0,0,2,,,,,
1/26/2020,North America,4,0,6,,,,,
1/27/2020,North America,0,0,6,,,,,
1/28/2020,North America,1,0,7,,6,0,,
1/29/2020,North America,1,0,8,,7,0,,
1/30/2020,North America,0,0,8,,7,0,,
1/31/2020,North America,4,0,12,,10,0,,
2/1/2020,North America,0,0,12,,10,0,,
2/2/2020,North America,0,0,12,,6,0,,
2/3/2020,North America,3,0,15,,9,0,,
2/4/2020,North America,0,0,15,,8,0,14,0
2/5/2020,North America,1,0,16,,8,0,15,0
2/6/2020,North America,1,0,17,,9,0,16,0
2/7/2020,North America,2,0,19,,7,0,17,0
2/8/2020,North America,0,0,19,,7,0,17,0
2/9/2020,North America,0,0,19,,7,0,13,0
2/10/2020,North America,0,0,19,,4,0,13,0
2/11/2020,North America,1,0,20,,5,0,13,0
2/12/2020,North America,0,0,20,,4,0,12,0
2/13/2020,North America,1,0,21,,4,0,13,0
2/14/2020,North America,0,0,21,,2,0,9,0
2/15/2020,North America,0,0,21,,2,0,9,0
2/16/2020,North America,0,0,21,,2,0,9,0
2/17/2020,North America,1,0,22,,3,0,7,0
2/18/2020,North America,0,0,22,,2,0,7,0
2/19/2020,North America,0,0,22,,2,0,6,0
2/20/2020,North America,0,0,22,,1,0,5,0
2/21/2020,North America,3,0,25,,4,0,6,0
2/22/2020,North America,0,0,25,,4,0,6,0
2/23/2020,North America,0,0,25,,4,0,6,0
2/24/2020,North America,1,0,26,,4,0,7,0
2/25/2020,North America,1,0,27,,5,0,7,0
2/26/2020,North America,0,0,27,,5,0,7,0
2/27/2020,North America,3,0,30,,8,0,9,0
2/28/2020,North America,2,0,32,,7,0,11,0
2/29/2020,North America,17,1,49,1,24,1,28,1
3/1/2020,North America,13,0,62,1,37,1,41,1
3/2/2020,North America,26,5,88,6,62,6,66,6
3/3/2020,North America,22,1,110,7,83,7,88,7
3/4/2020,North America,36,4,146,11,119,11,124,11
3/5/2020,North America,81,1,227,12,197,12,205,12
3/6/2020,North America,68,2,295,14,263,14,270,14
3/7/2020,North America,171,3,466,17,417,16,441,17
3/8/2020,North America,134,4,600,21,538,20,575,21
3/9/2020,North America,92,2,692,23,604,17,666,23
3/10/2020,North America,191,6,883,29,773,22,856,29
3/11/2020,North America,409,6,1292,35,1146,24,1265,35
3/12/2020,North America,468,10,1760,45,1533,33,1730,45
3/13/2020,North America,748,8,2508,53,2213,39,2476,53
3/14/2020,North America,802,7,3310,60,2844,43,3261,59
3/15/2020,North America,312,12,3622,72,3022,51,3560,71
3/16/2020,North America,1686,31,5308,103,4616,80,5220,97
3/17/2020,North America,1949,40,7257,143,6374,114,7147,136
3/18/2020,North America,2893,66,10150,209,8858,174,10004,198
3/19/2020,North America,4759,76,14909,285,13149,240,14682,273
3/20/2020,North America,6658,111,21567,396,19059,343,21272,382
3/21/2020,North America,6563,108,28130,504,24820,444,27664,487
3/22/2020,North America,9382,129,37512,633,33890,561,36912,612
3/23/2020,North America,12026,203,49538,836,44230,733,48846,813
3/24/2020,North America,11471,251,61009,1087,53752,944,60126,1058
3/25/2020,North America,12853,350,73862,1437,63712,1228,72570,1402
3/26/2020,North America,19053,438,92915,1875,78006,1590,91155,1830
3/27/2020,North America,19743,548,112658,2423,91091,2027,110150,2370
3/28/2020,North America,21031,677,133689,3100,105559,2596,130379,3040
3/29/2020,North America,20084,658,153773,3758,116261,3125,150151,3686
3/30/2020,North America,23532,765,177305,4523,127767,3687,171997,4420
3/31/2020,North America,28016,1131,205321,5654,144312,4567,198064,5511
4/1/2020,North America,33734,1328,239055,6982,165193,5545,228905,6773
4/2/2020,North America,34454,1584,273509,8566,180594,6691,258600,8281
4/3/2020,North America,33978,1509,307487,10075,194829,7652,285920,9679
4/4/2020,North America,33457,1674,340944,11749,207255,8649,312814,11245
4/5/2020,North America,33367,1735,374311,13484,220538,9726,336799,12851
4/6/2020,North America,32867,1906,407178,15390,229873,10867,357640,14554
4/7/2020,North America,32772,2671,439950,18061,234629,12407,378941,16974
4/8/2020,North America,33305,2280,473255,20341,234200,13359,399393,18904
4/9/2020,North America,38384,2366,511639,22707,238130,14141,418724,20832
4/10/2020,North America,36880,2343,548519,25050,241032,14975,435861,22627
4/11/2020,North America,31208,2305,579727,27355,238783,15606,446038,24255
4/12/2020,North America,29254,2054,608981,29409,234670,15925,455208,25651
4/13/2020,North America,29143,2190,638124,31599,230946,16209,460819,27076
4/14/2020,North America,30848,2660,668972,34259,229022,16198,463651,28605
4/15/2020,North America,27603,2827,696575,37086,223320,16745,457520,30104
4/16/2020,North America,33500,2406,730075,39492,218436,16785,456566,30926
4/17/2020,North America,36365,2320,766440,41812,217921,16762,458953,31737
4/18/2020,North America,30640,2251,797080,44063,217353,16708,456136,32314
4/19/2020,North America,28659,2181,825739,46244,216758,16835,451428,32760
4/20/2020,North America,33006,2420,858745,48664,220621,17065,451567,33274
4/21/2020,North America,28756,2875,887501,51539,218529,17280,447551,33478
4/22/2020,North America,32719,2791,920220,54330,223645,17244,446965,33989
4/23/2020,North America,37058,2749,957278,57079,227203,17587,445639,34372
4/24/2020,North America,35795,2544,993073,59623,226633,17811,444554,34573
4/25/2020,North America,33370,2003,1026443,61626,229363,17563,446716,34271
4/26/2020,North America,29581,1619,1056024,63245,230285,17001,447043,33836
4/27/2020,North America,26666,1786,1082690,65031,223945,16367,444566,33432
4/28/2020,North America,27579,2565,1110269,67596,222768,16057,441297,33337
4/29/2020,North America,29964,2848,1140233,70444,220013,16114,443658,33358
4/30/2020,North America,32873,2530,1173106,72974,215828,15895,443031,33482
5/1/2020,North America,38991,2248,1212097,75222,219024,15599,445657,33410
5/2/2020,North America,31335,1992,1243432,77214,216989,15588,446352,33151
5/3/2020,North America,28795,1440,1272227,78654,216203,15409,446488,32410
5/4/2020,North America,27600,1762,1299827,80416,217137,15385,441082,31752
5/5/2020,North America,27679,2678,1327506,83094,217237,15498,440005,31555
5/6/2020,North America,28499,2697,1356005,85791,215772,15347,435785,31461
5/7/2020,North America,31686,2364,1387691,88155,214585,15181,430413,31076
5/8/2020,North America,30932,2133,1418623,90288,206526,15066,425550,30665
5/9/2020,North America,29246,1838,1447869,92126,204437,14912,421426,30500
5/10/2020,North America,22618,1224,1470487,93350,198260,14696,414463,30105
5/11/2020,North America,22498,1303,1492985,94653,193158,14237,410295,29622
5/12/2020,North America,26695,2128,1519680,96781,192174,13687,409411,29185
5/13/2020,North America,24290,2144,1543970,98925,187965,13134,403737,28481
5/14/2020,North America,31099,2206,1575069,101131,187378,12976,401963,28157
5/15/2020,North America,29337,2092,1604406,103223,185783,12935,392309,28001
5/16/2020,North America,28428,1613,1632834,104836,184965,12710,389402,27622
5/17/2020,North America,22141,1058,1654975,105894,184488,12544,382748,27240
5/18/2020,North America,26850,1490,1681825,107384,188840,12731,381998,26968
5/19/2020,North America,26255,1892,1708080,109276,188400,12495,380574,26182
5/20/2020,North America,26712,2062,1734792,111338,190822,12413,378787,25547
5/21/2020,North America,30897,1723,1765689,113061,190620,11930,377998,24906
5/22/2020,North America,28987,1821,1794676,114882,190270,11659,376053,24594
5/23/2020,North America,26896,1387,1821572,116269,188738,11433,373703,24143
5/24/2020,North America,25555,968,1847127,117237,192152,11343,376640,23887
5/25/2020,North America,23428,935,1870555,118172,188730,10788,377570,23519
5/26/2020,North America,25598,1311,1896153,119483,188073,10207,376473,22702
5/27/2020,North America,24297,2046,1920450,121529,185658,10191,376480,22604
5/28/2020,North America,27978,1691,1948428,123220,182739,10159,373359,22089
5/29/2020,North America,30037,1607,1978465,124827,183789,9945,374059,21604
5/30/2020,North America,28920,1415,2007385,126242,185813,9973,374551,21406
5/31/2020,North America,24513,842,2031898,127084,184771,9847,376923,21190
6/1/2020,North America,22500,1086,2054398,128170,183843,9998,372573,20786
6/2/2020,North America,27641,1560,2082039,129730,185886,10247,373959,20454
6/3/2020,North America,25809,2195,2107848,131925,187398,10396,373056,20587
6/4/2020,North America,28414,1931,2136262,133856,187834,10636,370573,20795
6/5/2020,North America,31872,1634,2168134,135490,189669,10663,373458,20608
6/6/2020,North America,26998,1088,2195132,136578,187747,10336,373560,20309
6/7/2020,North America,23805,727,2218937,137305,187039,10221,371810,20068
6/8/2020,North America,23033,934,2241970,138239,187572,10069,371415,20067
6/9/2020,North America,25302,1598,2267272,139837,185233,10107,371119,20354
6/10/2020,North America,28684,1689,2295956,141526,188108,9601,375506,19997
6/11/2020,North America,30651,1493,2326607,143019,190345,9163,378179,19799
6/12/2020,North America,32937,1403,2359544,144422,191410,8932,381079,19595
6/13/2020,North America,31717,1234,2391261,145656,196129,9078,383876,19414
6/14/2020,North America,26150,677,2417411,146333,198474,9028,385513,19249
6/15/2020,North America,25044,898,2442455,147231,200485,8992,388057,19061
6/16/2020,North America,31145,1628,2473600,148859,206328,9022,391561,19129
6/17/2020,North America,34984,1587,2508584,150446,212628,8920,400736,18521
6/18/2020,North America,37260,1408,2545844,151854,219237,8835,409582,17998
6/19/2020,North America,39948,1369,2585792,153223,226248,8801,417658,17733
6/20/2020,North America,40839,1040,2626631,154263,235370,8607,431499,17685
6/21/2020,North America,33673,1423,2660304,155686,242893,9353,441367,18381
6/22/2020,North America,40048,1271,2700352,156957,257897,9726,458382,18718
6/23/2020,North America,46943,1647,2747295,158604,273695,9745,480023,18767
6/24/2020,North America,44289,1778,2791584,160382,283000,9936,495628,18856
6/25/2020,North America,50419,1359,2842003,161741,296159,9887,515396,18722
6/26/2020,North America,54375,1484,2896378,163225,310586,10002,536834,18803
6/27/2020,North America,49673,1196,2946051,164421,319420,10158,554790,18765
6/28/2020,North America,49034,648,2995085,165069,334781,9383,577674,18736
6/29/2020,North America,48870,937,3043955,166006,343603,9049,601500,18775
6/30/2020,North America,56011,1303,3099966,167309,352671,8705,626366,18450
7/1/2020,North America,61736,1575,3161702,168884,370118,8502,653118,18438
7/2/2020,North America,67817,1526,3229519,170410,387516,8669,683675,18556
