date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/25/2020,Oceania,0,0,,,,,,
1/26/2020,Oceania,4,0,4,,,,,
1/27/2020,Oceania,1,0,5,,,,,
1/28/2020,Oceania,0,0,5,,,,,
1/29/2020,Oceania,1,0,6,,,,,
1/30/2020,Oceania,3,0,9,,,,,
1/31/2020,Oceania,0,0,9,,9,0,,
2/1/2020,Oceania,3,0,12,,12,0,,
2/2/2020,Oceania,0,0,12,,8,0,,
2/3/2020,Oceania,0,0,12,,7,0,,
2/4/2020,Oceania,1,0,13,,8,0,,
2/5/2020,Oceania,0,0,13,,7,0,,
2/6/2020,Oceania,1,0,14,,5,0,,
2/7/2020,Oceania,1,0,15,,6,0,15,0
2/8/2020,Oceania,0,0,15,,3,0,15,0
2/9/2020,Oceania,0,0,15,,3,0,11,0
2/10/2020,Oceania,0,0,15,,3,0,10,0
2/11/2020,Oceania,0,0,15,,2,0,10,0
2/12/2020,Oceania,0,0,15,,2,0,9,0
2/13/2020,Oceania,0,0,15,,1,0,6,0
2/14/2020,Oceania,0,0,15,,0,0,6,0
2/15/2020,Oceania,0,0,15,,0,0,3,0
2/16/2020,Oceania,0,0,15,,0,0,3,0
2/17/2020,Oceania,0,0,15,,0,0,3,0
2/18/2020,Oceania,0,0,15,,0,0,2,0
2/19/2020,Oceania,0,0,15,,0,0,2,0
2/20/2020,Oceania,0,0,15,,0,0,1,0
2/21/2020,Oceania,0,0,15,,0,0,0,0
2/22/2020,Oceania,0,0,15,,0,0,0,0
2/23/2020,Oceania,0,0,15,,0,0,0,0
2/24/2020,Oceania,0,0,15,,0,0,0,0
2/25/2020,Oceania,0,0,15,,0,0,0,0
2/26/2020,Oceania,0,0,15,,0,0,0,0
2/27/2020,Oceania,0,0,15,,0,0,0,0
2/28/2020,Oceania,1,0,16,,1,0,1,0
2/29/2020,Oceania,10,0,26,,11,0,11,0
3/1/2020,Oceania,2,1,28,1,13,1,13,1
3/2/2020,Oceania,3,0,31,1,16,1,16,1
3/3/2020,Oceania,9,0,40,1,25,1,25,1
3/4/2020,Oceania,15,1,55,2,40,2,40,2
3/5/2020,Oceania,3,0,58,2,43,2,43,2
3/6/2020,Oceania,6,0,64,2,48,2,49,2
3/7/2020,Oceania,4,0,68,2,42,2,53,2
3/8/2020,Oceania,13,1,81,3,53,2,66,3
3/9/2020,Oceania,15,0,96,3,65,2,81,3
3/10/2020,Oceania,16,0,112,3,72,2,97,3
3/11/2020,Oceania,21,0,133,3,78,1,118,3
3/12/2020,Oceania,0,0,133,3,75,1,118,3
3/13/2020,Oceania,72,0,205,3,141,1,189,3
3/14/2020,Oceania,51,0,256,3,188,1,230,3
3/15/2020,Oceania,49,0,305,3,224,0,277,2
3/16/2020,Oceania,80,0,385,3,289,0,354,2
3/17/2020,Oceania,79,2,464,5,352,2,424,4
3/18/2020,Oceania,124,1,588,6,455,3,533,4
3/19/2020,Oceania,122,0,710,6,577,3,652,4
3/20/2020,Oceania,122,1,832,7,627,4,768,5
3/21/2020,Oceania,293,0,1125,7,869,4,1057,5
3/22/2020,Oceania,529,0,1654,7,1349,4,1573,4
3/23/2020,Oceania,134,0,1788,7,1403,4,1692,4
3/24/2020,Oceania,416,1,2204,8,1740,3,2092,5
3/25/2020,Oceania,371,0,2575,8,1987,2,2442,5
3/26/2020,Oceania,524,5,3099,13,2389,7,2966,10
3/27/2020,Oceania,418,0,3517,13,2685,6,3312,10
3/28/2020,Oceania,580,1,4097,14,2972,7,3841,11
3/29/2020,Oceania,407,3,4504,17,2850,10,4199,14
3/30/2020,Oceania,452,1,4956,18,3168,11,4571,15
3/31/2020,Oceania,256,1,5212,19,3008,11,4748,14
4/1/2020,Oceania,364,2,5576,21,3001,13,4988,15
4/2/2020,Oceania,345,4,5921,25,2822,12,5211,19
4/3/2020,Oceania,285,4,6206,29,2689,16,5374,22
4/4/2020,Oceania,307,2,6513,31,2416,17,5388,24
4/5/2020,Oceania,226,5,6739,36,2235,19,5085,29
4/6/2020,Oceania,180,5,6919,41,1963,23,5131,34
4/7/2020,Oceania,153,5,7072,46,1860,27,4868,38
4/8/2020,Oceania,165,5,7237,51,1661,30,4662,43
4/9/2020,Oceania,127,1,7364,52,1443,27,4265,39
4/10/2020,Oceania,152,4,7516,56,1310,27,3999,43
4/11/2020,Oceania,117,5,7633,61,1120,30,3536,47
4/12/2020,Oceania,30,3,7663,64,924,28,3159,47
4/13/2020,Oceania,55,2,7718,66,799,25,2762,48
4/14/2020,Oceania,81,5,7799,71,727,25,2587,52
4/15/2020,Oceania,45,1,7844,72,607,21,2268,51
4/16/2020,Oceania,43,0,7887,72,523,20,1966,47
4/17/2020,Oceania,68,5,7955,77,439,21,1749,48
4/18/2020,Oceania,59,1,8014,78,381,17,1501,47
4/19/2020,Oceania,51,1,8065,79,402,15,1326,43
4/20/2020,Oceania,23,0,8088,79,370,13,1169,38
4/21/2020,Oceania,27,1,8115,80,316,9,1043,34
4/22/2020,Oceania,14,1,8129,81,285,9,892,30
4/23/2020,Oceania,15,11,8144,92,257,20,780,40
4/24/2020,Oceania,20,5,8164,97,209,20,648,41
4/25/2020,Oceania,26,1,8190,98,176,20,557,37
4/26/2020,Oceania,19,4,8209,102,144,23,546,38
4/27/2020,Oceania,10,0,8219,102,131,23,501,36
4/28/2020,Oceania,25,6,8244,108,129,28,445,37
4/29/2020,Oceania,10,2,8254,110,125,29,410,38
4/30/2020,Oceania,17,2,8271,112,127,20,384,40
5/1/2020,Oceania,18,1,8289,113,125,16,334,36
5/2/2020,Oceania,23,1,8312,114,122,16,298,36
5/3/2020,Oceania,23,1,8335,115,126,13,270,36
5/4/2020,Oceania,24,1,8359,116,140,14,271,37
5/5/2020,Oceania,30,2,8389,118,145,10,274,38
5/6/2020,Oceania,20,0,8409,118,155,8,280,37
5/7/2020,Oceania,20,0,8429,118,158,6,285,26
5/8/2020,Oceania,7,0,8436,118,147,5,272,21
5/9/2020,Oceania,23,0,8459,118,147,4,269,20
5/10/2020,Oceania,12,0,8471,118,136,3,262,16
5/11/2020,Oceania,22,0,8493,118,134,2,274,16
5/12/2020,Oceania,10,1,8503,119,114,1,259,11
5/13/2020,Oceania,9,0,8512,119,103,1,258,9
5/14/2020,Oceania,31,0,8543,119,114,1,272,7
5/15/2020,Oceania,16,0,8559,119,123,1,270,6
5/16/2020,Oceania,10,0,8569,119,110,1,257,5
5/17/2020,Oceania,10,1,8579,120,108,2,244,5
5/18/2020,Oceania,14,0,8593,120,100,2,234,4
5/19/2020,Oceania,8,1,8601,121,98,2,212,3
