date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2/22/2020,South America,0,0,,,,,,
2/23/2020,South America,2,0,2,,,,,
2/24/2020,South America,0,0,2,,,,,
2/25/2020,South America,0,0,2,,,,,
2/26/2020,South America,1,0,3,,,,,
2/27/2020,South America,0,0,3,,,,,
2/28/2020,South America,0,0,3,,3,0,,
2/29/2020,South America,1,0,4,,4,0,,
3/1/2020,South America,13,0,17,,15,0,,
3/2/2020,South America,0,0,17,,15,0,,
3/3/2020,South America,3,0,20,,18,0,,
3/4/2020,South America,5,0,25,,22,0,,
3/5/2020,South America,6,0,31,,28,0,,
3/6/2020,South America,12,0,43,,40,0,43,0
3/7/2020,South America,6,0,49,,45,0,49,0
3/8/2020,South America,25,1,74,1,57,1,72,1
3/9/2020,South America,7,0,81,1,64,1,79,1
3/10/2020,South America,22,0,103,1,83,1,101,1
3/11/2020,South America,33,0,136,1,111,1,133,1
3/12/2020,South America,19,1,155,2,124,2,152,2
3/13/2020,South America,154,1,309,3,266,3,306,3
3/14/2020,South America,78,2,387,5,338,5,383,5
3/15/2020,South America,65,0,452,5,378,4,435,5
3/16/2020,South America,236,0,688,5,607,4,671,5
3/17/2020,South America,290,1,978,6,875,5,958,6
3/18/2020,South America,242,2,1220,8,1084,7,1195,8
3/19/2020,South America,471,5,1691,13,1536,11,1660,13
3/20/2020,South America,641,10,2332,23,2023,20,2289,23
3/21/2020,South America,712,10,3044,33,2657,28,2995,33
3/22/2020,South America,1136,20,4180,53,3728,48,4106,52
3/23/2020,South America,812,15,4992,68,4304,63,4911,67
3/24/2020,South America,836,26,5828,94,4850,88,5725,93
3/25/2020,South America,823,21,6651,115,5431,107,6515,114
3/26/2020,South America,1113,28,7764,143,6073,130,7609,141
3/27/2020,South America,1183,25,8947,168,6615,145,8638,165
3/28/2020,South America,1332,44,10279,212,7235,179,9892,207
3/29/2020,South America,1029,44,11308,256,7128,203,10856,251
3/30/2020,South America,988,42,12296,298,7304,230,11608,293
3/31/2020,South America,2196,78,14492,376,8664,282,13514,370
4/1/2020,South America,2377,73,16869,449,10218,334,15649,441
4/2/2020,South America,2300,147,19169,596,11405,453,17478,583
4/3/2020,South America,2021,83,21190,679,12243,511,18858,656
4/4/2020,South America,2416,143,23606,822,13327,610,20562,789
4/5/2020,South America,1912,71,25518,893,14210,637,21338,840
4/6/2020,South America,2010,119,27528,1012,15232,714,22536,944
4/7/2020,South America,2866,160,30394,1172,15902,796,24566,1078
4/8/2020,South America,5076,218,35470,1390,18601,941,28819,1275
4/9/2020,South America,4106,214,39576,1604,20407,1008,31812,1461
4/10/2020,South America,5372,194,44948,1798,23758,1119,36001,1630
4/11/2020,South America,3073,127,48021,1925,24415,1103,37742,1713
4/12/2020,South America,2876,156,50897,2081,25379,1188,39589,1825
4/13/2020,South America,4074,166,54971,2247,27443,1235,42675,1949
4/14/2020,South America,3060,264,58031,2511,27637,1339,43539,2135
4/15/2020,South America,5195,264,63226,2775,27756,1385,46357,2326
4/16/2020,South America,4351,252,67577,3027,28001,1423,48408,2431
4/17/2020,South America,5292,291,72869,3318,27921,1520,51679,2639
4/18/2020,South America,5720,325,78589,3643,30568,1718,54983,2821
4/19/2020,South America,4333,204,82922,3847,32025,1766,57404,2954
4/20/2020,South America,4205,224,87127,4071,32156,1824,59599,3059
4/21/2020,South America,4777,236,91904,4307,33873,1796,61510,3135
4/22/2020,South America,5353,260,97257,4567,34031,1792,61787,3177
4/23/2020,South America,7416,526,104673,5093,37096,2066,65097,3489
4/24/2020,South America,17393,479,122066,5572,49197,2254,77118,3774
4/25/2020,South America,10863,447,132929,6019,54340,2376,84908,4094
4/26/2020,South America,6881,289,139810,6308,56888,2461,88913,4227
4/27/2020,South America,6942,484,146752,6792,59625,2721,91781,4545
4/28/2020,South America,10381,797,157133,7589,65229,3282,99102,5078
4/29/2020,South America,10612,560,167745,8149,70488,3582,104519,5374
4/30/2020,South America,12490,661,180235,8810,75562,3717,112658,5783
5/1/2020,South America,11624,675,191859,9485,69793,3913,118990,6167
5/2/2020,South America,11347,773,203206,10258,70277,4239,124617,6615
5/3/2020,South America,12072,612,215278,10870,75468,4562,132356,7023
5/4/2020,South America,12088,427,227366,11297,80614,4505,140239,7226
5/5/2020,South America,12953,705,240319,12002,83186,4413,148415,7695
5/6/2020,South America,16464,827,256783,12829,89038,4680,159526,8262
5/7/2020,South America,13711,766,270494,13595,90259,4785,165821,8502
5/8/2020,South America,15492,1010,285986,14605,94127,5120,163920,9033
5/9/2020,South America,16974,794,302960,15399,99754,5141,170031,9380
5/10/2020,South America,12061,988,315021,16387,99743,5517,175211,10079
5/11/2020,South America,10654,660,325675,17047,98309,5750,178923,10255
5/12/2020,South America,15526,1123,341201,18170,100882,6168,184068,10581
5/13/2020,South America,20060,950,361261,19120,104478,6291,193516,10971
5/14/2020,South America,21211,933,382472,20053,111978,6458,202237,11243
5/15/2020,South America,25660,1406,408132,21459,122146,6854,216273,11974
5/16/2020,South America,25411,976,433543,22435,130583,7036,230337,12177
5/17/2020,South America,15279,685,448822,23120,133801,6733,233544,12250
5/18/2020,South America,20915,999,469737,24119,144062,7072,242371,12822
5/19/2020,South America,26626,1373,496363,25492,155162,7322,256044,13490
5/20/2020,South America,30723,1107,527086,26599,165825,7479,270303,13770
5/21/2020,South America,29298,1459,556384,28058,173912,8005,285890,14463
5/22/2020,South America,30509,1317,586893,29375,178761,7916,300907,14770
5/23/2020,South America,33011,1224,619904,30599,186361,8164,316944,15200
5/24/2020,South America,26430,832,646334,31431,197512,8311,331313,15044
5/25/2020,South America,23035,1168,669369,32599,199632,8480,343694,15552
5/26/2020,South America,28208,1300,697577,33899,201214,8407,356376,15729
5/27/2020,South America,34323,1437,731900,35336,204814,8737,370639,16216
5/28/2020,South America,40078,1399,771978,36735,215594,8677,389506,16682
5/29/2020,South America,39679,1383,811657,38118,224764,8743,403525,16659
5/30/2020,South America,57197,1206,868854,39324,248950,8725,435311,16889
5/31/2020,South America,32830,759,901684,40083,255350,8652,452862,16963
6/1/2020,South America,25038,891,926722,40974,257353,8375,456985,16855
6/2/2020,South America,44796,1637,971518,42611,273941,8712,475155,17119
6/3/2020,South America,38205,1687,1009723,44298,277823,8962,482637,17699
6/4/2020,South America,43338,1773,1053061,46071,281083,9336,496677,18013
6/5/2020,South America,42755,1370,1095816,47441,284159,9323,508923,18066
6/6/2020,South America,49777,1315,1145593,48756,276739,9432,525689,18157
