date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
1/22/2020,World,0,0,557,17,,,,
1/23/2020,World,98,1,655,18,,,,
1/24/2020,World,286,8,941,26,,,,
1/25/2020,World,492,16,1433,42,,,,
1/26/2020,World,685,14,2118,56,,,,
1/27/2020,World,809,26,2927,82,,,,
1/28/2020,World,2651,49,5578,131,5021,114,,
1/29/2020,World,589,2,6167,133,5610,116,,
1/30/2020,World,2068,38,8235,171,7580,153,,
1/31/2020,World,1692,42,9927,213,8986,187,,
2/1/2020,World,2111,46,12038,259,10605,217,,
2/2/2020,World,4749,103,16787,362,14669,306,,
2/3/2020,World,3100,64,19887,426,16960,344,,
2/4/2020,World,4011,66,23898,492,18320,361,23341,475
2/5/2020,World,3745,72,27643,564,21476,431,27086,547
2/6/2020,World,3160,70,30803,634,22568,463,30148,616
2/7/2020,World,3593,85,34396,719,24469,506,33455,693
2/8/2020,World,2734,87,37130,806,25092,547,35697,764
2/9/2020,World,3030,100,40160,906,23373,544,38042,850
2/10/2020,World,2609,107,42769,1013,22882,587,39842,931
2/11/2020,World,2042,100,44811,1113,20913,621,39233,982
2/12/2020,World,418,5,45229,1118,17586,554,39062,985
2/13/2020,World,15153,253,60382,1371,29579,737,52147,1200
2/14/2020,World,6527,152,66909,1523,32513,804,56982,1310
2/15/2020,World,2143,143,69052,1666,31922,860,57014,1407
2/16/2020,World,2183,104,71235,1770,31075,864,54448,1408
2/17/2020,World,2035,98,73270,1868,30501,855,53383,1442
2/18/2020,World,1882,140,75152,2008,30341,895,51254,1516
2/19/2020,World,500,115,75652,2123,30423,1005,48009,1559
2/20/2020,World,560,125,76212,2248,15830,877,45409,1614
2/21/2020,World,629,4,76841,2252,9932,729,42445,1533
2/22/2020,World,1761,207,78602,2459,9550,793,41472,1653
2/23/2020,World,380,11,78982,2470,7747,700,38822,1564
2/24/2020,World,564,160,79546,2630,6276,762,36777,1617
2/25/2020,World,853,80,80399,2710,5247,702,35588,1597
2/26/2020,World,977,61,81376,2771,5724,648,36147,1653
2/27/2020,World,1360,43,82736,2814,6524,566,22354,1443
2/28/2020,World,1386,59,84122,2873,7281,621,17213,1350
2/29/2020,World,1891,69,86013,2942,7411,483,16961,1276
3/1/2020,World,2381,54,88394,2996,9412,526,17159,1226
3/2/2020,World,1983,89,90377,3085,10831,455,17107,1217
3/3/2020,World,2594,75,92971,3160,12572,450,17819,1152
3/4/2020,World,2308,95,95279,3255,13903,484,19627,1132
3/5/2020,World,2811,94,98090,3349,15354,535,21878,1101
3/6/2020,World,3913,111,102003,3460,17881,587,25162,1208
3/7/2020,World,4095,104,106098,3564,20085,622,27496,1105
3/8/2020,World,3949,239,110047,3803,21653,807,31065,1333
3/9/2020,World,4172,190,114219,3993,23842,908,34673,1363
3/10/2020,World,4822,274,119041,4267,26070,1107,38642,1557
3/11/2020,World,7661,344,126702,4611,31423,1356,45326,1840
3/12/2020,World,5790,306,132492,4917,34402,1568,49756,2103
3/13/2020,World,14384,497,146876,5414,44873,1954,62754,2541
3/14/2020,World,11074,420,157950,5834,51852,2270,71937,2892
3/15/2020,World,11269,636,169219,6470,59172,2667,80825,3474
3/16/2020,World,14808,683,184027,7153,69808,3160,93650,4068
3/17/2020,World,15943,813,199970,7966,80929,3699,106999,4806
3/18/2020,World,19565,906,219535,8872,92833,4261,124256,5617
3/19/2020,World,27049,1111,246584,9983,114092,5066,148494,6634
3/20/2020,World,30775,1486,277359,11469,130483,6055,175356,8009
3/21/2020,World,31991,1722,309350,13191,151400,7357,203252,9627
3/22/2020,World,34855,1687,344205,14878,174986,8408,234158,11075
3/23/2020,World,42835,1949,387040,16827,203013,9674,272821,12834
3/24/2020,World,41179,2290,428219,19117,228249,11151,309178,14850
3/25/2020,World,51001,2810,479220,21927,259685,13055,352518,17316
3/26/2020,World,62877,3035,542097,24962,295513,14979,409605,20045
3/27/2020,World,65041,3488,607138,28450,329779,16981,460262,23036
3/28/2020,World,67280,3730,674418,32180,365068,18989,516468,26346
3/29/2020,World,59237,3519,733655,35699,389450,20821,564436,29229
3/30/2020,World,65294,4081,798949,39780,411909,22953,614922,32627
3/31/2020,World,76845,4748,875794,44528,447575,25411,675824,36562
4/1/2020,World,82808,5998,958602,50526,479382,28599,739067,41654
4/2/2020,World,83060,5887,1041662,56413,499565,31451,795078,46430
4/3/2020,World,83559,6161,1125221,62574,518083,34124,847862,51105
4/4/2020,World,58363,5914,1183584,68488,509166,36308,874234,55297
4/5/2020,World,72592,5188,1256176,73676,522521,37977,911971,58798
4/6/2020,World,73155,5938,1329331,79614,530382,39834,942291,62787
4/7/2020,World,69831,8258,1399162,87872,523368,43344,970943,68755
